City Name,Service type,Stage,Action,Day,From Time,To Time,Amount,Passenger Location,Route Metric,"Month, Day, Year of Request Created Local",Condition Formating,NA%,Non Riders,DP,DP surge only,GMV,Requests with DP,Requests,Rides,max DP,min DP,NA%
Lima,Beat,Start,add_percent,Monday,19:00,19:30,,AELU,total_basic_fare <= 30000,"January 20, 2020",,0,0,0,,700,0,60,58,0,0,0
Lima,Beat,Start,add_percent,Monday,19:30,20:00,,AELU,total_basic_fare <= 30000,"January 20, 2020",3rd,1.851851852,1,0,,517,0,54,46,0,0,1.85
Lima,Beat,Start,add_percent,Monday,20:00,20:30,,AELU,total_basic_fare <= 30000,"January 20, 2020",,0,0,0,,533.5,0,47,43,0,0,0
Lima,Beat,Start,add_percent,Monday,20:30,21:00,,AELU,total_basic_fare <= 30000,"January 20, 2020",,0,0,0,,575.5,0,61,56,0,0,0
Lima,Beat,Start,add_percent,Monday,21:00,21:30,,AELU,total_basic_fare <= 30000,"January 20, 2020",,2.083333333,1,0,,506,0,48,42,0,0,2.08
Lima,Beat,Start,add_percent,Monday,21:30,22:00,,AELU,total_basic_fare <= 30000,"January 20, 2020",3rd,1.515151515,1,0,,704,0,66,61,0,0,1.52
Lima,Beat,Start,add_percent,Monday,22:00,22:30,,AELU,total_basic_fare <= 30000,"January 20, 2020",,2.325581395,1,0,,484,0,43,38,0,0,2.33
Lima,Beat,Start,add_percent,Monday,22:30,23:00,,AELU,total_basic_fare <= 30000,"January 20, 2020",,0,0,0,,504.5,0,43,41,0,0,0
Lima,Beat,Start,add_percent,Monday,23:00,23:30,,AELU,total_basic_fare <= 30000,"January 20, 2020",3rd,3.389830508,2,0,,626.5,0,59,54,0,0,3.39
Lima,Beat,Start,add_percent,Monday,23:30,0:00,,AELU,total_basic_fare <= 30000,"January 20, 2020",,2.941176471,1,0,,326.5,0,34,32,0,0,2.94
Lima,Beat,Start,add_percent,Tuesday,0:00,0:30,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,258,0,20,19,0,0,0
Lima,Beat,Start,add_percent,Tuesday,0:30,1:00,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,204.5,0,19,19,0,0,0
Lima,Beat,Start,add_percent,Tuesday,1:00,1:30,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,201.5,0,20,18,0,0,0
Lima,Beat,Start,add_percent,Tuesday,1:30,2:00,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,126,0,12,12,0,0,0
Lima,Beat,Start,add_percent,Tuesday,2:00,2:30,,AELU,total_basic_fare <= 30000,"January 21, 2020",,33.33333333,1,0,,43,0,3,2,0,0,33.33
Lima,Beat,Start,add_percent,Tuesday,2:30,3:00,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,79.5,0,7,6,0,0,0
Lima,Beat,Start,add_percent,Tuesday,3:00,3:30,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,48,0,4,3,0,0,0
Lima,Beat,Start,add_percent,Tuesday,3:30,4:00,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,89.5,0,4,4,0,0,0
Lima,Beat,Start,add_percent,Tuesday,4:00,4:30,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,55,0,4,4,0,0,0
Lima,Beat,Start,add_percent,Tuesday,4:30,5:00,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,67.5,0,6,5,0,0,0
Lima,Beat,Start,add_percent,Tuesday,5:00,5:30,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,77.5,0,7,6,0,0,0
Lima,Beat,Start,add_percent,Tuesday,5:30,6:00,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,108,0,11,9,0,0,0
Lima,Beat,Start,add_percent,Tuesday,6:00,6:30,,AELU,total_basic_fare <= 30000,"January 21, 2020",,0,0,0,,354.5,0,25,24,0,0,0
Lima,Beat,Start,add_percent,Tuesday,6:30,7:00,,AELU,total_basic_fare <= 30000,"January 21, 2020",,2.380952381,1,0,,428.5,0,42,35,0,0,2.38
Lima,Beat,Start,add_percent,Tuesday,7:00,7:30,,AELU,total_basic_fare <= 30000,"January 21, 2020",,6.666666667,3,0,,550,0,45,41,0,0,6.67
Lima,Beat,Start,add_percent,Tuesday,7:30,8:00,,AELU,total_basic_fare <= 30000,"January 21, 2020",3rd,1.515151515,1,25,25,943.5,66,66,58,25,25,1.52
Lima,Beat,Start,add_percent,Tuesday,8:00,8:30,,AELU,total_basic_fare <= 30000,"January 21, 2020",3rd,1.960784314,1,50,50,929,51,51,47,50,50,1.96
Lima,Beat,Start,add_percent,Tuesday,8:30,9:00,,AELU,total_basic_fare <= 30000,"January 21, 2020",3rd,10,7,9,25,697.5,25,70,54,25,0,10
Lima,Beat,Start,add_percent,Tuesday,9:00,9:30,,AELU,total_basic_fare <= 30000,"January 21, 2020",3rd,12.98701299,10,2,25,786.5,7,77,59,25,0,12.99
